,region,gravity,type,2016,2017,2018,2019,2020,2021
155,Красноярский край,особо тяжких,несовершеннолетними или при их соучастии,78,31,34,37,43,60
156,Новосибирская область,особо тяжких,несовершеннолетними или при их соучастии,42,36,37,22,44,35
157,Омская область,особо тяжких,несовершеннолетними или при их соучастии,36,21,35,26,31,27
158,Республика Алтай,особо тяжких,несовершеннолетними или при их соучастии,8,8,17,13,6,6
159,Республика Бурятия,особо тяжких,несовершеннолетними или при их соучастии,19,19,22,17,18,26
160,Республика Тыва,особо тяжких,несовершеннолетними или при их соучастии,12,17,4,7,10,13
161,Республика Хакасия,особо тяжких,несовершеннолетними или при их соучастии,10,11,8,9,11,10
162,Томская область,особо тяжких,несовершеннолетними или при их соучастии,18,9,11,18,13,19
163,Амурская область,особо тяжких,несовершеннолетними или при их соучастии,15,11,6,9,7,21
164,Еврейская автономная область,особо тяжких,несовершеннолетними или при их соучастии,4,4,2,3,1,1
165,Камчатский край,особо тяжких,несовершеннолетними или при их соучастии,9,5,2,3,6,16
166,Магаданская область,особо тяжких,несовершеннолетними или при их соучастии,2,3,1,2,0,10
167,Приморский край,особо тяжких,несовершеннолетними или при их соучастии,33,36,31,21,18,33
168,Республика Саха (Якутия),особо тяжких,несовершеннолетними или при их соучастии,8,8,12,5,12,14
169,Сахалинская область,особо тяжких,несовершеннолетними или при их соучастии,9,8,9,5,10,11
170,Хабаровский край,особо тяжких,несовершеннолетними или при их соучастии,25,23,23,17,31,22
171,Чукотский автономный округ,особо тяжких,несовершеннолетними или при их соучастии,0,2,0,1,0,0
172,Российская Федерация,тяжких,несовершеннолетними или при их соучастии,9905,8375,7748,8010,7728,7214
173,Белгородская область,тяжких,несовершеннолетними или при их соучастии,56,27,31,39,49,49
174,Брянская область,тяжких,несовершеннолетними или при их соучастии,59,54,46,48,41,34
175,Владимирская область,тяжких,несовершеннолетними или при их соучастии,138,101,91,72,87,62
176,Воронежская область,тяжких,несовершеннолетними или при их соучастии,127,123,115,95,105,79
177,Ивановская область,тяжких,несовершеннолетними или при их соучастии,102,76,48,51,73,35
178,Калужская область,тяжких,несовершеннолетними или при их соучастии,45,42,54,49,64,78
179,Костромская область,тяжких,несовершеннолетними или при их соучастии,47,53,69,42,42,41
180,Курская область,тяжких,несовершеннолетними или при их соучастии,83,62,53,54,69,36
181,город Москва,тяжких,несовершеннолетними или при их соучастии,264,147,155,125,127,155
182,Московская область,тяжких,несовершеннолетними или при их соучастии,154,131,113,107,124,186
183,Липецкая область,тяжких,несовершеннолетними или при их соучастии,54,44,44,41,43,51
184,Орловская область,тяжких,несовершеннолетними или при их соучастии,24,21,20,30,18,21
185,Рязанская область,тяжких,несовершеннолетними или при их соучастии,41,34,31,41,42,37
186,Смоленская область,тяжких,несовершеннолетними или при их соучастии,38,59,47,54,50,37
187,Тамбовская область,тяжких,несовершеннолетними или при их соучастии,38,32,39,41,32,32
188,Тверская область,тяжких,несовершеннолетними или при их соучастии,86,90,85,66,81,91
189,Тульская область,тяжких,несовершеннолетними или при их соучастии,90,61,70,82,55,54
190,Ярославская область,тяжких,несовершеннолетними или при их соучастии,127,94,44,49,55,82
191,Архангельская область (кроме Ненецкого автономного округа),тяжких,несовершеннолетними или при их соучастии,162,100,87,123,97,86
192,Ненецкий автономный округ (Архангельская область),тяжких,несовершеннолетними или при их соучастии,4,11,6,8,3,3
193,город Санкт-Петербург,тяжких,несовершеннолетними или при их соучастии,173,162,113,124,113,99
194,Ленинградская область,тяжких,несовершеннолетними или при их соучастии,98,85,76,97,87,74
195,Вологодская область,тяжких,несовершеннолетними или при их соучастии,162,87,92,128,100,84
196,Калининградская область,тяжких,несовершеннолетними или при их соучастии,54,42,65,67,34,41
197,Мурманская область,тяжких,несовершеннолетними или при их соучастии,62,28,37,49,45,55
198,Новгородская область,тяжких,несовершеннолетними или при их соучастии,71,40,46,74,91,95
