,region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
51,Ярославская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,372388.0,367584.6,439991.5,636857.0,494045.3,580540.6,1432605.2,1086066.5,1134792.1,1175871.0,1223841.8,981648.2,1172159.0,1566211.9,1892185.3,1205598.3
52,Ярославская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,93470653.0,102700657.8,139835310.9,154084012.0,128660682.5,162944402.5,191967773.7,219859125.21,237393612.39,249696147.61,310374386.7,314478851.6,338015811.9,390117032.2,395894307.87,420810277.3
53,Ярославская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,17188925.4,19541016.7,17811617.6,21308762.4,24241185.0,27717501.6,30340005.4,30569538.8,33447128.4,33655568.0,32713575.3,36052295.2,43670556.9,45608189.6,44105943.0,46191636.0
54,город Москва,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,4140710.47,107079100.3,437158097.1,464034416.6,472046992.4,488054965.0,643044319.7,713335724.9,795805384.5,732852945.4,878268535.6,966512805.21,1272415320.7,1808822841.3,1760325218.9,1092663698.4
55,город Москва,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,1002261360.0,1519597473.0,1851644163.0,2129463100.0,1638278439.0,2049657674.2,2405166705.5,2655110720.6,3468492076.38,4163849996.94,5156076899.8,5761913890.34,5568602450.7,6413663232.2,7249902240.4,7529104650.3
56,город Москва,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,158823559.3,314834493.2,253878798.7,292051222.9,351594893.0,449390618.7,593778943.0,528915734.5,561463567.6,574189591.6,628697084.4,755361102.6,756675440.8,783384439.7,783044638.8,964262427.1
57,Республика Карелия,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,20227908.5,17315374.6,22627434.2,27768496.5,17029990.9,35188116.4,51771890.4,48761729.93,51004030.9,49048188.4,46285683.8,52404932.95,73729067.8,83395342.6,91188860.3,88083157.0
58,Республика Карелия,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,31302698.9,36610302.3,44272537.5,47892877.98,40963386.55,51968500.1,56071753.8,54157839.75,46613802.35,55435161.08,76438873.6,86809162.9,93267985.1,121609921.75,126762282.53,126255184.93
59,Республика Карелия,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,9107547.9,10086522.5,9983067.0,11081286.38,13194338.2,16453276.4,17976873.6,19825343.27,20717154.8,21842681.85,24763806.5,28364643.4,26676171.2,25664323.2,25678831.8,26728754.5
60,Республика Коми,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,78787815.3,95499295.2,91247722.2,125953798.0,127253904.9,166406357.5,204529185.2,237306075.1,248967810.1,249067732.4,295708193.3,295261952.7,314269797.7,400372547.2,425992069.0,303708239.3
61,Республика Коми,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,70478469.1,82224576.5,86494383.8,88213316.5,87279038.4,100922995.9,135496517.34,147305197.25,158457842.7,161947225.6,175276726.1,164306821.52,170537208.73,194300579.76,199128119.23,190136442.48
62,Республика Коми,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,16074050.4,23097629.0,20576044.9,24315611.5,30122821.4,34420839.2,35957944.29,36422990.76,39848534.6,43161154.6,43971205.0,45514196.75,47107879.9,44612610.9,43013227.53,42455955.55
63,Ненецкий автономный округ (Архангельская область),ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,41898040.3,50635724.7,77580971.0,88966252.2,139683279.7,153567368.7,171225348.1,176813929.1,181672646.7,187517356.5,217123363.1,233011811.8,267857887.6,352133840.4,359496314.3,255509734.0
64,Ненецкий автономный округ (Архангельская область),ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,345181.6,426650.2,497776.6,573406.5,802335.7,1150019.5,847765.6,1154483.2,1092263.6,5783208.5,12532100.2,22369724.8,21433913.5,14916142.3,1553084.9,1713211.5
65,Ненецкий автономный округ (Архангельская область),ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,500281.1,667846.5,716972.9,927013.8,1383699.3,1691539.6,1841768.1,2077923.5,2655141.4,3075614.3,3170651.4,3908564.2,3832246.7,3062515.6,3991386.3,5041518.4
66,Архангельская область (кроме Ненецкого автономного округа),ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1566886.400000006,1047620.099999994,932576.200000003,1848284.849999994,2010882.400000006,2166659.100000024,2866410.319999993,2156737.900000006,2809707.200000018,7364928.0,18468235.599999994,24664373.699999988,27140121.8,33267927.0,33553813.1,30698169.7
67,Архангельская область (кроме Ненецкого автономного округа),ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,64143072.94,58485266.3,67548731.95,86174913.15,61736897.65,97211749.8,101099145.35000001,117860910.72,263791316.55,149716844.41,160872718.70000002,145656682.0,289234907.2,232650643.3,193168477.7,259143871.78
68,Архангельская область (кроме Ненецкого автономного округа),ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,14021273.700000001,20127305.3,18212424.3,20071976.73,23278019.37,27035272.4,29053556.369999997,30328377.62,31406148.840000004,30777344.400000002,32162700.1,32773176.56,32841559.6,31823418.3,34362608.9,36359400.42
69,Вологодская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,163110.4,206940.2,258861.3,311996.5,287601.4,348667.8,359398.1,436591.1,495350.5,395500.1,589142.0,554460.2,632013.8,797622.2,634218.6,612397.6
70,Вологодская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,213085158.9,236959776.9,292699739.6,375166699.2,235523419.2,319956073.6,400082399.7,388255123.58,374616369.03,409032720.75,498161518.49,515013392.38,572244453.13,692721179.59,704649049.85,728137683.51
71,Вологодская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,17217661.9,20245818.3,20023396.3,21749848.0,24060882.2,29536865.6,27596102.5,30940964.11,33740111.05,35580632.2,40875661.34,43212650.25,40646493.47,40464331.84,41971419.33,40112366.04
72,Калининградская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,12486607.2,12828823.3,13800105.8,15106185.21,13290001.2,13034156.8,16594481.9,17127509.41,15302487.34,13083877.42,14828736.4,14843351.6,18259871.8,18428163.6,18593404.5,14788998.7
73,Калининградская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,61612963.8,106265265.6,164536381.9,193984932.6,157167522.9,216767011.8,275795280.46,325691322.67,339318267.14,419356992.36,422286936.8,424135858.38,464119224.3,576618326.9,599548151.21,579414803.93
74,Калининградская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,7611701.4,9285391.84,11653715.8,13973613.9,15192950.51,18293105.8,25111972.1,20321758.3,21825383.16,22685490.15,22987621.3,26571986.86,28773085.8,37791453.4,46186085.2,49918467.8
75,Ленинградская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,4129574.8,5911791.6,7460873.9,11000121.85,8447306.5,8314328.2,9383976.02,15530613.85,15864449.21,14400804.35,13219715.4,11460817.8,11402281.9,15857470.2,15726564.1,15391484.6
76,Ленинградская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,162569961.9,205677148.3,244352349.7,315967166.5,318177895.1,376894053.5,449542978.67,504378137.39,519640142.56,645072810.67,851522080.3,899579550.69,909007747.5,1095744590.0,1115017076.8,1091256081.5
77,Ленинградская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,31720121.1,36580358.65,42783440.25,52396669.7,64824865.6,77932107.7,103227937.5,106698039.55,137956059.01,149173211.65,99767596.1,105308067.9,99029137.3,130252161.3,177690556.0,169188746.4
78,Мурманская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,27035517.9,29476683.4,35361593.3,60270326.6,46719377.5,62384089.6,82722196.1,78943641.2,93187144.4,82162778.0,106425986.2,124267226.4,107972566.2,96258308.2,143328936.4,199187594.0
79,Мурманская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,45558359.7,54699752.79,64201204.7,50921401.27,52570155.94,88592867.6,87229302.6,96299074.86,88347396.62,114264694.83,147939773.7,139900746.91,160154261.7,185431317.6,321233236.2,745236878.3
80,Мурманская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,23278412.5,23038701.61,25804844.6,30183504.94,36154540.2,43397867.6,48568331.6,52005392.0,57105692.3,55741153.29,56927389.0,62036019.46,58975777.8,57998716.0,59980538.0,54903783.96
81,Новгородская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,180970.9,244969.05,185722.85,338392.0,547394.1,626411.8,958869.5,1106234.8,1243647.2,1638190.7,2414111.5,3735095.6,1593288.9,1178197.8,1153230.8,962587.4
82,Новгородская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,52412422.15,59269982.85,73161737.65,97937464.73,80261848.1,99844526.7,119361552.0,124883534.35,129436217.92,150602611.29,189449897.7,191679854.47,181982321.9,201188437.3,202563486.8,208251704.2
83,Новгородская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,7544750.6,8397316.5,6754090.75,8300817.5,9942113.1,11479644.9,11681523.7,13172130.6,13527870.0,14894867.96,15918278.5,21294012.14,19405068.2,21581520.4,19871297.8,19773169.6
84,Псковская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,92346.0,136528.3,270817.4,408653.1,453073.6,277685.9,441142.2,656143.6,905181.7,982768.7,1250201.9,1055714.4,1370713.6,1958914.6,2104658.3,2401920.1
85,Псковская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,22475024.7,26226396.75,34816550.02,40507389.1,33980778.53,47185633.6,61752499.9,62389647.95,64413155.9,63522598.5,81734479.8,85900659.64,94886638.5,103644095.6,124228414.6,122905954.9
86,Псковская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,5044821.9,5656661.3,5903088.7,6424066.2,7675173.1,9360646.2,10459903.3,10423030.3,10928826.8,10541807.0,10565177.6,11267833.7,11490579.3,11760316.2,11741784.8,12002802.0
87,город Санкт-Петербург,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1260649.6,1175607.5,1069672.55,1381374.7,800859.6,1721743.1,3164887.88,1768749.6,10019280.4,14725563.3,16797739.1,13233962.1,20016792.8,24035471.8,37276810.6,35897627.6
88,город Санкт-Петербург,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,372490642.9,442212990.0,549995408.9,721113320.2,994090280.5,1318895666.82,1740535724.51,2069394070.02,1976411810.23,2089706587.86,2263057200.8,2062005158.97,2221316703.7,2615909723.1,2679285004.7,2564838334.6
89,город Санкт-Петербург,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,59549378.11,56769426.44,95233162.49,82879707.88,104951012.5,127810825.3,147413553.55,150924633.45,173698121.61,178707848.69,181157386.6,218137014.95,213937864.6,213389459.9,215548778.7,203617516.5
90,Республика Адыгея (Адыгея),ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,568380.9,602761.6,802900.0,1945042.9,815589.0,705013.5,907092.7,1741808.7,2164458.8,1964454.0,2077847.8,2389757.1,2740092.8,3392743.3,3709522.0,2422944.4
91,Республика Адыгея (Адыгея),ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,5480308.6,6366148.2,8420131.6,12125211.7,13083264.6,18124674.0,20717782.5,23705276.1,28275294.04,31557773.34,43280087.3,48425644.1,47823191.7,52529038.9,50080386.5,51784957.4
92,Республика Адыгея (Адыгея),ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,1935083.5,1899307.7,1573465.7,1851090.9,1662003.2,1490438.2,1698206.1,1988294.46,2139204.05,2229229.8,2502632.9,2773105.3,2346320.3,2427567.1,2533431.5,4870689.2
93,Республика Калмыкия,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,395747.4,471660.6,498728.53,866382.5,957481.8,1130967.3,1171362.0,861574.4,918209.13,886513.7,1006983.1,735085.6,1234910.4,930010.74,695091.98,604967.3
94,Республика Калмыкия,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,1312043.8,1413942.8,1029250.6,1128001.4,1622034.8,1862034.9,2155196.4,2498851.05,2459467.4,2634192.2,2683023.5,3022837.2,2054490.5,2699669.8,2905599.4,4114195.2
95,Республика Крым,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,,,,,,,,2948939.6,8186286.5,12328384.15,10786642.2,14372450.2,10992783.3,12350320.9
96,Республика Крым,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,,,,,,,,23504615.2,57537833.3,74005063.93,78646762.04,93537356.82,99091919.7,100422035.18
97,Республика Крым,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,,,,,,,,,,13555489.9,25552752.2,31020628.1,35383015.9,37020516.6,37760565.2,49583786.2
98,Краснодарский край,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10226071.6,13609885.51,10080100.9,13300467.73,13580654.95,17079673.6,18333774.0,18987973.95,20948098.4,22116121.14,26723044.7,39582697.4,53142476.7,52498279.3,64340657.7,24330834.5
