,region,total,18_30,31_40,41_50,51_60,60_,date
1383,Костромская область,95.51019393027464,3.4135210251754944,5.861743071920214,7.540523903973736,17.4515485198749,61.24285740933029,2018-05-01
1384,Курская область,106.98084801705826,4.638475947265021,7.761578928963082,11.944546316164187,24.212790644499776,58.423456180166184,2018-05-01
1385,Липецкая область,104.49738784786311,3.5489449235394512,5.852890060085151,8.655008994080166,19.624396083814915,66.81614778634342,2018-05-01
1386,Орловская область,84.03379337755788,3.2787016876615094,4.8899493741694515,7.094039855630066,15.134219341128167,53.63688311896869,2018-05-01
1387,Рязанская область,119.16103271230541,3.5587093414559767,5.655949223967743,8.368450806706173,20.499806504653698,81.07811683552183,2018-05-01
1388,Смоленская область,80.7722773945908,3.376001213464399,5.477443466463299,7.255505884038309,15.023995415801162,49.63933141482365,2018-05-01
1389,Тамбовская область,107.90748796383733,3.028391411365853,5.615585863120579,9.090011920058206,19.656485595306286,70.51701317398641,2018-05-01
1390,Тверская область,76.90636067586124,3.0291158081835197,4.812781326501921,6.2716483639736955,13.68125975076974,49.11155542643236,2018-05-01
1391,Тульская область,99.83141793270795,3.6236765637411144,6.016670520928642,9.391663398922818,18.7189773805095,62.080430068605864,2018-05-01
1392,Ярославская область,84.1450156595169,2.2793999134065057,4.098969411006223,5.8577022384734265,12.140471081249347,59.76847301538141,2018-05-01
1393,город Москва,83.41971530251386,2.420667449834758,3.4733227638690636,5.23697018214895,12.222635519476803,60.066119387184294,2018-05-01
1394,Московская область,56.73799225282989,2.292432015683588,3.464969477109331,4.534086948757127,9.3597756212696,37.08672819001024,2018-05-01
1395,Республика Карелия,101.48533938221706,3.392858290333567,5.102139171448583,6.777684245699487,13.256565630602553,72.95609204413286,2018-05-01
1396,Республика Коми,75.02916611664307,3.6390751040882514,6.476602293093011,7.520755215115719,14.494459924388105,42.89827357995797,2018-05-01
1397,Архангельская область (кроме Ненецкого автономного округа),78.09143039213127,2.86400649486828,4.630833883122973,6.03223492413803,11.690042852089636,52.874312237912356,2018-05-01
1398,Ненецкий автономный округ (Архангельская область),66.07268677409823,3.0002045594017774,4.886696820237743,6.318612632679502,12.455394686001318,39.41177807577789,2018-05-01
1399,Вологодская область,84.70037537531157,2.562274313773648,4.527109542113506,5.888556789432042,14.242505878783604,57.47992885120877,2018-05-01
1400,Калининградская область,71.45894978780393,2.921780536678601,4.468132383000586,5.9581801308869204,11.70019274099411,46.41066399624371,2018-05-01
1401,город Санкт-Петербург,111.43334139895197,2.490874795751443,3.6614794462189844,5.1119828622731776,11.718378493012342,88.45062580169602,2018-05-01
1402,Ленинградская область,77.72453214659039,2.532230391616349,4.260079302420974,5.524264864793342,12.1368429873813,53.27111460037843,2018-05-01
1403,Мурманская область,37.89228950165681,2.037005827031001,3.103945686922157,4.001024474591836,6.238413285259111,22.511900227852703,2018-05-01
1404,Новгородская область,100.62063461703347,3.497252982805585,5.860083498769943,7.380341513926355,16.961924297086775,66.92103232444482,2018-05-01
1405,Псковская область,76.47051430690006,3.5598369952839226,5.924159448021038,7.02227333138532,12.878880709328156,47.08536382288162,2018-05-01
1406,Республика Дагестан,94.4696031345824,12.311167031399677,14.244986349030723,19.40901828887181,24.538127246943013,23.966304218337175,2018-05-01
1407,Республика Ингушетия,104.55431181268864,12.43333066963362,12.61159365055948,24.49374337916946,30.90096569359667,24.114678419729408,2018-05-01
1408,Кабардино-Балкарская Республика,65.61349367310828,4.4928091953598175,5.56461560494694,8.54904207302143,16.363527167058585,30.64349963272151,2018-05-01
1409,Карачаево-Черкесская Республика,106.62549189907892,8.063391985931954,9.854065472169504,16.36697011612571,28.845927022013488,43.49513730283827,2018-05-01
1410,Республика Северная Осетия-Алания,95.24128447557231,4.800752388620122,6.016259004082563,10.758587276367445,20.942908238512892,52.72277756798928,2018-05-01
1411,Чеченская Республика,104.6910153996469,15.668265620770214,23.90149904556845,25.828455630241457,23.440810978015715,15.851984125051063,2018-05-01
1412,Ставропольский край,76.87363827421542,3.4402433128596903,5.223028456721489,7.888458278257305,16.7166903395397,43.60521788683724,2018-05-01
1413,Республика Адыгея (Адыгея),74.98411914172785,3.2952780914737434,5.567123094297007,8.478613777526823,15.64264539808018,42.00045878035009,2018-05-01
1414,Республика Калмыкия,78.0754721091597,6.88057571719563,6.844266610508582,7.926277989782617,18.710082675835924,37.71426911583695,2018-05-01
1415,Республика Крым,64.70501862591973,2.9664566232140253,5.565567992575759,8.13802984850013,15.46507842533773,32.569885736292086,2018-05-01
1416,Краснодарский край,76.0508760721131,3.3424230202269327,4.8477536932801755,6.900607129217514,13.788186500387264,47.17190572900121,2018-05-01
1417,Астраханская область,43.20726790982728,2.8618770847379005,3.9016662178603934,4.630894513490724,8.514870557063588,23.297959536674682,2018-05-01
1418,Волгоградская область,69.8927844472402,2.827933157655092,4.773376655312627,6.546288466633562,12.328678018590587,43.41650814904833,2018-05-01
1419,Ростовская область,84.38859155370089,3.969243104766978,7.250171308665517,10.266435917290375,19.151266262476152,43.75147496050187,2018-05-01
1420,город Севастополь,45.457668262074336,1.7862459065197975,3.4236379874962783,4.628208944969885,7.9327638720315115,27.686811551056863,2018-05-01
1421,Республика Башкортостан,63.464534799730174,2.8880516369358546,3.9837146865854867,4.914979057626413,10.745717820496823,40.93207159808559,2018-05-01
1422,Республика Марий Эл,93.05427115499323,4.170983962376142,5.686373075902822,6.795802049732315,16.579881084455828,59.821230982526124,2018-05-01
1423,Республика Мордовия,87.52186183321409,3.1910823594880355,5.054306781143175,7.4752563796804194,17.51182526432944,54.28939104857302,2018-05-01
1424,Республика Татарстан (Татарстан),73.02394997385912,3.383163631620087,4.507375425110239,6.359834054218953,14.616550821665806,44.15702604124404,2018-05-01
1425,Удмуртская Республика,69.70319435522033,3.0547690615738867,5.236463711564237,6.219911648306328,12.899823137992021,42.29222679578386,2018-05-01
1426,Чувашская Республика - Чувашия,64.65104453922739,3.065508802169087,4.1523267081845185,5.988870269844377,11.936314745064848,39.50802401396455,2018-05-01
1427,Кировская область,97.65920273557984,3.0064571030471354,4.884518694115978,5.962261092642207,14.35898874565747,69.44697710011705,2018-05-01
1428,Нижегородская область,90.72658429456106,3.093900243357141,4.3907539125101405,5.819611518904695,13.206576578359021,64.21574204143008,2018-05-01
1429,Оренбургская область,97.71807940456688,3.644095220759258,5.341504358554295,6.711263475112756,15.94310620310256,66.078110147038,2018-05-01
1430,Пензенская область,72.63442858698386,2.674116043569844,4.268372814279974,6.065384803120929,12.60912173198013,47.01743319403299,2018-05-01
1431,Пермский край,79.31045525141415,3.2556625273243105,5.132052569419189,6.001627068813422,11.785574593938064,53.13553849191917,2018-05-01
1432,Самарская область,67.43981707924249,2.782827944389785,4.503816172404442,6.382624281590749,13.15885886205603,40.61168981880149,2018-05-01
1433,Саратовская область,55.73722568464646,2.6439838405164537,4.003329340831118,5.41586309100875,10.577559430763921,33.09648998152622,2018-05-01
1434,Ульяновская область,90.18721051677419,3.6001405402456887,5.62882936071836,7.283706797110262,17.395866255741534,56.27866756295834,2018-05-01
1435,Курганская область,88.17709928719856,3.724260440406511,5.9193151807667785,7.441424798678237,15.449353487783503,55.64274537956352,2018-05-01
1436,Свердловская область,63.36665390441629,3.152645762470476,5.135187373880298,5.824163933880445,10.077322590847803,39.17733424333728,2018-05-01
1437,Тюменская область (без автономных округов),62.87384597729219,3.3353816673438845,4.966042358479803,5.21090834606036,10.609302639014825,38.75221096639331,2018-05-01
1438,Ханты-Мансийский автономный округ - Югра (Тюменская область),29.004745407154,2.413789353225294,3.3744714737830455,3.553315440880589,7.131403188014554,12.531765951250518,2018-05-01
1439,Ямало-Ненецкий автономный округ (Тюменская область),25.121298605321357,2.3414855156560153,2.6311538268711923,3.1325028270513067,6.404269265263756,10.611887170479086,2018-05-01
1440,Челябинская область,63.53670560509539,3.1823319313056033,4.383292929130992,5.21952822702085,10.285608278872592,40.46594423876536,2018-05-01
1441,Республика Алтай,102.41535702984918,4.888495526522152,8.052718709730675,9.520184533827381,18.884450823844485,61.06950743592448,2018-05-01
1442,Республика Тыва,63.91853836542108,6.306687139828796,9.147649212674295,13.179080075344553,15.472985994119146,19.812135943454287,2018-05-01
1443,Республика Хакасия,52.646168557783724,2.9915555530749955,5.192432555119598,5.369172466526391,9.490003032484797,29.603004950577937,2018-05-01
1444,Алтайский край,75.43190019063181,3.422436683006536,5.761505991285403,6.155535130718954,11.869808687363834,48.222613698257085,2018-05-01
1445,Кемеровская область - Кузбасс,83.80122729163521,3.899621392738889,6.517551635937373,7.745436990259666,15.91835174666599,49.72026552603329,2018-05-01
1446,Новосибирская область,66.04875344631424,3.1077336922866747,5.227246078937942,6.030444817915922,11.523391908274705,40.15993694889899,2018-05-01
1447,Омская область,64.32183159777581,3.129462506906602,5.1528482751478135,5.886491425609452,11.722984917460044,38.43004447265189,2018-05-01
1448,Томская область,49.591942723596844,2.7284193344956784,4.407018585154135,4.66947360611344,8.468115888266498,29.31891530956709,2018-05-01
1449,Красноярский край,62.177711292589564,3.6255904316952186,5.475409847463772,6.270821766892161,11.649238639915145,35.156650606623266,2018-05-01
1450,Иркутская область,87.99826969110244,6.179199274601269,8.335014422706976,8.976393345797657,15.561133768267549,48.94652887972897,2018-05-01
1451,Республика Бурятия,74.63603758617222,4.589080264212386,7.38437660930147,7.84044058420881,14.484348067213062,40.33779206123649,2018-05-01
1452,Забайкальский край,74.24921187987391,4.456537342259458,6.635868926907568,7.1746429456956795,12.323756578542625,43.658406086468574,2018-05-01
1453,Хабаровский край,51.402467210016994,2.7478690839884305,4.361959855514785,5.472400101784083,7.843848763308344,30.976389405421358,2018-05-01
1454,Амурская область,83.43561816779055,4.20954279931465,6.699447912387403,7.839193210624932,14.33198400849674,50.355450236966824,2018-05-01
1455,Камчатский край,42.57550933745726,2.82040962488552,3.799630494649144,4.930963344181875,7.405952015008382,23.618553858732337,2018-05-01
1456,Магаданская область,34.741933916760935,2.6372223109007504,4.0460542296187825,4.629019161502106,7.287061648541547,16.14257656619775,2018-05-01
1457,Сахалинская область,43.65530283711527,2.898929171061302,4.543219749439492,5.253161587250424,6.970894424712504,23.989097904651544,2018-05-01
1458,Еврейская автономная область,78.69073043070351,4.616884960558964,7.314182724949696,7.517868826150826,12.066858419642747,47.174935499401286,2018-05-01
1459,Чукотский автономный округ,31.77433735916349,3.5462430088352113,4.660776525897706,5.2079111615465665,8.08543406014428,10.273972602739725,2018-05-01
1460,Республика Саха (Якутия),53.48687689898686,4.483942218949944,5.717959619632284,7.228853193408895,12.47601961983968,23.58010224715606,2018-05-01
1461,Приморский край,57.924650699385325,2.96282821503191,5.015062437370527,6.120111634014397,9.483350295890775,34.343298117077715,2018-05-01
1462,Российская Федерация,77.44562597691707,3.5095348848102517,5.333399346211074,7.018831480561005,13.639767889571566,47.94409237576316,2018-06-01
1463,Белгородская область,135.96894203149154,3.6215800489845638,6.4901966350856455,10.045319754612626,22.052731960492324,93.75911363231639,2018-06-01
1464,Брянская область,89.38448300635352,3.189147320108804,5.327907433801658,8.239593982404363,16.829317033614043,55.79851723642466,2018-06-01
1465,Владимирская область,92.4483634989121,2.9093030224103393,4.89357827584981,6.789341068258343,15.265497479934153,62.59064365245945,2018-06-01
1466,Воронежская область,92.84984625721151,3.060287055097165,4.9996400670503665,7.5161712732370995,18.13933518670236,59.13441267512452,2018-06-01
