,region,gravity,type,2016,2017,2018,2019,2020,2021
137,Республика Башкортостан,особо тяжких,несовершеннолетними или при их соучастии,1.302,0.713,0.788,3.555,4.309,1.296
138,Республика Марий Эл,особо тяжких,несовершеннолетними или при их соучастии,0.729,1.022,0.879,2.499,0.736,1.185
139,Республика Мордовия,особо тяжких,несовершеннолетними или при их соучастии,1.61,0.618,1.118,0.629,0.253,0.385
140,Самарская область,особо тяжких,несовершеннолетними или при их соучастии,0.405,1.342,2.317,2.639,5.661,1.458
141,Саратовская область,особо тяжких,несовершеннолетними или при их соучастии,0.442,0.363,0.69,0.574,0.908,0.835
142,Удмуртская Республика,особо тяжких,несовершеннолетними или при их соучастии,1.78,1.78,1.652,1.526,2.265,1.272
143,Ульяновская область,особо тяжких,несовершеннолетними или при их соучастии,0.954,0.639,0.802,0.565,0.894,0.657
144,Чувашская Республика - Чувашия,особо тяжких,несовершеннолетними или при их соучастии,2.102,4.208,6.579,7.275,5.748,0.828
145,Курганская область,особо тяжких,несовершеннолетними или при их соучастии,2.088,2.927,3.075,3.115,9.792,2.199
146,Свердловская область,особо тяжких,несовершеннолетними или при их соучастии,1.478,2.217,1.595,1.715,1.114,1.375
147,Тюменская область (без автономных округов),особо тяжких,несовершеннолетними или при их соучастии,1.65,1.083,1.668,1.054,1.041,1.425
148,Ханты-Мансийский автономный округ - Югра (Тюменская область),особо тяжких,несовершеннолетними или при их соучастии,0.676,1.458,0.363,1.563,0.955,1.126
149,Ямало-Ненецкий автономный округ (Тюменская область),особо тяжких,несовершеннолетними или при их соучастии,1.311,1.119,1.3,1.108,0.918,3.108
150,Челябинская область,особо тяжких,несовершеннолетними или при их соучастии,1.4,5.311,8.56,4.661,3.087,2.847
151,Алтайский край,особо тяжких,несовершеннолетними или при их соучастии,1.767,1.818,1.532,1.115,0.993,1.437
152,Забайкальский край,особо тяжких,несовершеннолетними или при их соучастии,3.878,2.41,1.864,2.064,2.17,1.424
153,Иркутская область,особо тяжких,несовершеннолетними или при их соучастии,1.326,1.494,1.165,1.251,1.087,1.221
154,Кемеровская область - Кузбасс,особо тяжких,несовершеннолетними или при их соучастии,1.251,1.403,1.225,0.823,1.467,1.671
155,Красноярский край,особо тяжких,несовершеннолетними или при их соучастии,2.721,1.078,1.182,1.287,1.5,2.101
156,Новосибирская область,особо тяжких,несовершеннолетними или при их соучастии,1.521,1.295,1.327,0.788,1.572,1.256
157,Омская область,особо тяжких,несовершеннолетними или при их соучастии,1.82,1.065,1.786,1.337,1.609,1.418
158,Республика Алтай,особо тяжких,несовершеннолетними или при их соучастии,3.718,3.687,7.796,5.94,2.725,2.715
159,Республика Бурятия,особо тяжких,несовершеннолетними или при их соучастии,1.934,1.931,2.235,1.729,1.826,2.638
160,Республика Тыва,особо тяжких,несовершеннолетними или при их соучастии,3.802,5.337,1.243,2.158,3.055,3.935
161,Республика Хакасия,особо тяжких,несовершеннолетними или при их соучастии,1.863,2.046,1.488,1.679,2.059,1.88
162,Томская область,особо тяжких,несовершеннолетними или при их соучастии,1.672,0.834,1.02,1.671,1.205,1.775
163,Амурская область,особо тяжких,несовершеннолетними или при их соучастии,1.862,1.372,0.751,1.135,0.886,2.686
164,Еврейская автономная область,особо тяжких,несовершеннолетними или при их соучастии,2.408,2.436,1.234,1.876,0.632,0.639
165,Камчатский край,особо тяжких,несовершеннолетними или при их соучастии,2.847,1.589,0.634,0.953,1.917,5.134
166,Магаданская область,особо тяжких,несовершеннолетними или при их соучастии,1.367,2.061,0.694,1.416,0.0,7.192
167,Приморский край,особо тяжких,несовершеннолетними или при их соучастии,1.711,1.872,1.62,1.104,0.949,1.757
168,Республика Саха (Якутия),особо тяжких,несовершеннолетними или при их соучастии,0.834,0.831,1.244,0.517,1.235,1.426
169,Сахалинская область,особо тяжких,несовершеннолетними или при их соучастии,1.847,1.642,1.836,1.021,2.048,2.265
170,Хабаровский край,особо тяжких,несовершеннолетними или при их соучастии,1.873,1.725,1.732,1.286,2.356,1.691
171,Чукотский автономный округ,особо тяжких,несовершеннолетними или при их соучастии,0.0,4.014,0.0,2.014,0.0,0.0
172,Российская Федерация,тяжких,несовершеннолетними или при их соучастии,6.759,5.705,5.275,5.457,5.266,4.935
173,Белгородская область,тяжких,несовершеннолетними или при их соучастии,3.613,1.739,2.0,2.52,3.163,3.179
174,Брянская область,тяжких,несовершеннолетними или при их соучастии,4.813,4.424,3.799,3.999,3.438,2.875
175,Владимирская область,тяжких,несовершеннолетними или при их соучастии,9.877,7.268,6.602,5.272,6.405,4.62
176,Воронежская область,тяжких,несовершеннолетними или при их соучастии,5.443,5.267,4.928,4.081,4.518,3.426
177,Ивановская область,тяжких,несовершеннолетними или при их соучастии,9.904,7.428,4.731,5.079,7.321,3.546
178,Калужская область,тяжких,несовершеннолетними или при их соучастии,4.456,4.14,5.335,4.854,6.384,7.792
179,Костромская область,тяжких,несовершеннолетними или при их соучастии,7.215,8.177,10.726,6.591,6.631,6.524
180,Курская область,тяжких,несовершеннолетними или при их соучастии,7.411,5.521,4.752,4.878,6.25,3.283
181,город Москва,тяжких,несовершеннолетними или при их соучастии,2.141,1.187,1.239,0.991,1.002,1.225
182,Московская область,тяжких,несовершеннолетними или при их соучастии,2.104,1.765,1.506,1.408,1.612,2.413
183,Липецкая область,тяжких,несовершеннолетними или при их соучастии,4.671,3.806,3.825,3.584,3.774,4.521
184,Орловская область,тяжких,несовершеннолетними или при их соучастии,3.159,2.782,2.676,4.057,2.454,2.898
185,Рязанская область,тяжких,несовершеннолетними или при их соучастии,3.628,3.018,2.764,3.68,3.788,3.369
186,Смоленская область,тяжких,несовершеннолетними или при их соучастии,3.964,6.19,4.951,5.73,5.348,4.017
187,Тамбовская область,тяжких,несовершеннолетними или при их соучастии,3.618,3.076,3.773,4.036,3.179,3.218
188,Тверская область,тяжких,несовершеннолетними или при их соучастии,6.591,6.94,6.621,5.198,6.427,7.306
